rating_date,team_id,elo_rating
2000-01-01,FRA,2080.12
2000-01-01,BRA,2070.21
2000-01-01,ESP,1969.06
2000-01-01,ARG,1926.28
2000-01-01,NED,1918.91
2000-01-01,ENG,1910.0
2000-01-01,ITA,1897.9
2000-01-01,NOR,1892.44
2000-01-01,GER,1879.91
2000-01-01,CZE,1879.07
2000-01-01,MEX,1873.33
2000-01-01,CRO,1872.91
2000-01-01,SWE,1869.73
2000-01-01,POR,1864.65
2000-01-01,AUS,1838.12
2000-01-01,MAR,1811.35
2000-01-01,USA,1798.85
2000-01-01,PAR,1794.29
2000-01-01,BEL,1785.48
2000-01-01,IRN,1775.26
2000-01-01,KOR,1763.39
2000-01-01,COL,1738.08
2000-01-01,IRQ,1732.25
2000-01-01,KSA,1729.05
2000-01-01,TUN,1714.85
2000-01-01,SCO,1708.35
2000-01-01,AUT,1702.52
2000-01-01,URU,1698.47
2000-01-01,RSA,1691.51
2000-01-01,EGY,1689.71
2000-01-01,TUR,1673.27
2000-01-01,ECU,1670.97
2000-01-01,SUI,1670.22
2000-01-01,CIV,1639.24
2000-01-01,UZB,1638.79
2000-01-01,JPN,1630.55
2000-01-01,QAT,1629.19
2000-01-01,SEN,1626.45
2000-01-01,CAN,1617.91
2000-01-01,JAM,1612.19
2000-01-01,ALG,1611.71
2000-01-01,COD,1600.85
2000-01-01,GHA,1600.46
2000-01-01,NZL,1591.95
2000-01-01,JOR,1525.55
2000-01-01,HAI,1519.04
2000-01-01,BIH,1487.31
2000-01-01,PAN,1462.22
2000-01-01,CPV,1354.43
2000-01-01,CUW,1343.52
2000-04-01,FRA,2088.16
2000-04-01,BRA,2063.82
2000-04-01,ESP,1993.71
2000-04-01,ARG,1938.67
2000-04-01,NED,1926.37
2000-04-01,ENG,1910.7
2000-04-01,ITA,1893.28
2000-04-01,CZE,1892.01
2000-04-01,NOR,1883.09
2000-04-01,CRO,1876.92
2000-04-01,POR,1876.55
2000-04-01,GER,1867.06
2000-04-01,MEX,1851.52
2000-04-01,SWE,1849.39
2000-04-01,USA,1817.81
2000-04-01,AUS,1797.34
2000-04-01,BEL,1794.7
2000-04-01,PAR,1765.83
2000-04-01,MAR,1762.13
2000-04-01,IRN,1759.01
2000-04-01,KOR,1755.74
2000-04-01,IRQ,1732.25
2000-04-01,KSA,1729.05
2000-04-01,COL,1728.02
2000-04-01,URU,1711.16
2000-04-01,CAN,1708.16
2000-04-01,SCO,1703.69
2000-04-01,RSA,1700.78
2000-04-01,EGY,1692.08
2000-04-01,AUT,1686.2
2000-04-01,SUI,1676.39
2000-04-01,TUN,1667.47
2000-04-01,TUR,1662.83
2000-04-01,ECU,1659.05
2000-04-01,JPN,1651.21
2000-04-01,CIV,1650.01
2000-04-01,UZB,1648.59
2000-04-01,ALG,1610.96
2000-04-01,SEN,1608.95
2000-04-01,JAM,1595.01
2000-04-01,GHA,1592.31
2000-04-01,QAT,1589.34
2000-04-01,COD,1578.79
2000-04-01,NZL,1571.17
2000-04-01,BIH,1507.2
2000-04-01,HAI,1499.26
2000-04-01,JOR,1490.6
2000-04-01,PAN,1489.0
2000-04-01,CPV,1354.43
2000-04-01,CUW,1346.38
2000-07-01,FRA,2120.02
2000-07-01,BRA,2054.94
2000-07-01,NED,2042.04
2000-07-01,ITA,1985.43
2000-07-01,ESP,1963.14
2000-07-01,ARG,1955.89
2000-07-01,POR,1948.11
2000-07-01,CZE,1887.73
2000-07-01,ENG,1887.24
2000-07-01,CRO,1873.86
2000-07-01,NOR,1868.42
2000-07-01,AUS,1848.32
2000-07-01,USA,1838.53
2000-07-01,MEX,1829.43
2000-07-01,GER,1813.67
2000-07-01,SWE,1811.79
2000-07-01,KOR,1799.93
2000-07-01,IRN,1774.76
2000-07-01,BEL,1767.01
2000-07-01,PAR,1762.56
2000-07-01,MAR,1757.26
2000-07-01,IRQ,1742.12
2000-07-01,CAN,1735.75
2000-07-01,COL,1735.05
2000-07-01,SCO,1728.57
2000-07-01,URU,1726.0
2000-07-01,EGY,1711.25
2000-07-01,TUR,1702.37
2000-07-01,JPN,1691.67
2000-07-01,TUN,1690.65
2000-07-01,SUI,1683.88
2000-07-01,KSA,1683.47
2000-07-01,AUT,1678.69
2000-07-01,ECU,1677.04
2000-07-01,RSA,1670.75
2000-07-01,CIV,1654.88
2000-07-01,ALG,1645.45
2000-07-01,QAT,1642.74
2000-07-01,UZB,1626.76
2000-07-01,NZL,1625.67
2000-07-01,GHA,1587.44
2000-07-01,COD,1560.95
2000-07-01,SEN,1550.88
2000-07-01,JAM,1533.21
2000-07-01,JOR,1519.45
2000-07-01,HAI,1518.0
2000-07-01,BIH,1507.2
2000-07-01,PAN,1473.41
2000-07-01,CPV,1439.6
2000-07-01,CUW,1346.38
2000-10-01,FRA,2126.58
2000-10-01,NED,2031.73
2000-10-01,BRA,2006.84
2000-10-01,ITA,1958.59
2000-10-01,POR,1952.77
2000-10-01,ARG,1944.59
2000-10-01,ESP,1929.19
2000-10-01,ENG,1896.45
2000-10-01,CZE,1870.05
2000-10-01,GER,1868.79
2000-10-01,CRO,1862.48
2000-10-01,MEX,1857.94
2000-10-01,AUS,1848.32
2000-10-01,USA,1824.17
2000-10-01,NOR,1817.09
2000-10-01,KOR,1813.37
2000-10-01,PAR,1792.91
2000-10-01,SWE,1790.87
2000-10-01,BEL,1785.81
2000-10-01,COL,1774.99
2000-10-01,IRN,1754.17
2000-10-01,URU,1741.81
2000-10-01,KSA,1738.27
2000-10-01,SCO,1732.42
2000-10-01,MAR,1730.49
2000-10-01,EGY,1724.23
2000-10-01,AUT,1713.2
2000-10-01,JPN,1712.72
2000-10-01,TUN,1692.4
2000-10-01,IRQ,1689.46
2000-10-01,RSA,1677.8
2000-10-01,TUR,1677.59
2000-10-01,SUI,1676.65
2000-10-01,JAM,1664.49
2000-10-01,CIV,1661.57
2000-10-01,CAN,1654.49
2000-10-01,ECU,1645.51
2000-10-01,QAT,1635.64
2000-10-01,NZL,1635.38
2000-10-01,ALG,1629.09
2000-10-01,GHA,1596.28
2000-10-01,UZB,1591.03
2000-10-01,COD,1571.32
2000-10-01,SEN,1553.45
2000-10-01,BIH,1538.21
2000-10-01,JOR,1526.02
2000-10-01,HAI,1497.17
2000-10-01,PAN,1452.52
2000-10-01,CPV,1445.23
2000-10-01,CUW,1346.38
2001-01-01,FRA,2106.82
2001-01-01,NED,2018.6
2001-01-01,BRA,2014.78
2001-01-01,ITA,1986.99
2001-01-01,POR,1977.89
2001-01-01,ARG,1976.69
2001-01-01,ESP,1917.1
2001-01-01,CZE,1867.03
2001-01-01,GER,1864.83
2001-01-01,ENG,1859.39
2001-01-01,CRO,1857.19
2001-01-01,USA,1849.87
2001-01-01,AUS,1849.57
2001-01-01,PAR,1831.59
2001-01-01,MEX,1829.27
2001-01-01,KOR,1826.29
2001-01-01,JPN,1809.81
2001-01-01,BEL,1791.09
2001-01-01,NOR,1785.94
2001-01-01,SWE,1782.44
2001-01-01,IRN,1775.7
2001-01-01,KSA,1756.03
2001-01-01,COL,1748.05
2001-01-01,EGY,1739.88
2001-01-01,URU,1728.45
2001-01-01,AUT,1723.33
2001-01-01,SCO,1722.98
2001-01-01,TUN,1704.34
2001-01-01,RSA,1698.16
2001-01-01,SUI,1681.84
2001-01-01,MAR,1680.94
2001-01-01,TUR,1680.53
2001-01-01,ECU,1671.19
2001-01-01,CIV,1670.68
2001-01-01,CAN,1669.12
2001-01-01,IRQ,1667.62
2001-01-01,QAT,1640.78
2001-01-01,NZL,1635.38
2001-01-01,ALG,1624.47
2001-01-01,JAM,1620.62
2001-01-01,GHA,1603.42
2001-01-01,UZB,1570.55
2001-01-01,COD,1561.42
2001-01-01,JOR,1557.48
2001-01-01,SEN,1553.45
2001-01-01,BIH,1523.11
2001-01-01,HAI,1497.17
2001-01-01,CPV,1445.23
2001-01-01,PAN,1439.52
2001-01-01,CUW,1346.38
2001-04-01,FRA,2097.29
2001-04-01,NED,2006.8
2001-04-01,ARG,1994.41
2001-04-01,BRA,1987.57
2001-04-01,ITA,1984.03
2001-04-01,POR,1979.91
2001-04-01,ESP,1911.49
2001-04-01,ENG,1899.09
2001-04-01,GER,1875.64
2001-04-01,CRO,1870.13
2001-04-01,USA,1862.57
2001-04-01,CZE,1856.16
2001-04-01,PAR,1842.08
2001-04-01,AUS,1831.78
2001-04-01,KOR,1820.19
2001-04-01,COL,1812.04
2001-04-01,IRN,1802.55
2001-04-01,SWE,1799.43
2001-04-01,KSA,1798.75
2001-04-01,BEL,1790.22
2001-04-01,MEX,1788.51
2001-04-01,JPN,1786.63
2001-04-01,NOR,1768.47
2001-04-01,URU,1735.13
2001-04-01,EGY,1729.61
2001-04-01,SCO,1728.24
2001-04-01,AUT,1721.81
2001-04-01,MAR,1719.72
2001-04-01,RSA,1704.93
2001-04-01,TUR,1700.98
2001-04-01,ECU,1697.53
2001-04-01,CIV,1696.85
2001-04-01,TUN,1693.52
2001-04-01,QAT,1689.31
2001-04-01,CAN,1669.12
2001-04-01,SUI,1667.87
2001-04-01,IRQ,1662.47
2001-04-01,NZL,1635.38
2001-04-01,ALG,1634.99
2001-04-01,JAM,1624.22
2001-04-01,SEN,1609.54
2001-04-01,GHA,1573.93
2001-04-01,BIH,1571.81
2001-04-01,JOR,1564.75
2001-04-01,UZB,1533.33
2001-04-01,COD,1521.27
2001-04-01,HAI,1497.17
2001-04-01,PAN,1464.76
2001-04-01,CPV,1445.23
