ranking_date,team_id,points,rank
2000-01-01,FRA,1620.18,1
2000-01-01,BRA,1605.31,2
2000-01-01,ESP,1453.58,3
2000-01-01,ARG,1389.41,4
2000-01-01,NED,1378.36,5
2000-01-01,ENG,1365.0,6
2000-01-01,ITA,1346.84,7
2000-01-01,NOR,1338.66,8
2000-01-01,GER,1319.87,9
2000-01-01,CZE,1318.61,10
2000-01-01,MEX,1310.0,11
2000-01-01,CRO,1309.37,12
2000-01-01,SWE,1304.6,13
2000-01-01,POR,1296.98,14
2000-01-01,AUS,1257.17,15
2000-01-01,MAR,1217.03,16
2000-01-01,USA,1198.28,17
2000-01-01,PAR,1191.44,18
2000-01-01,BEL,1178.22,19
2000-01-01,IRN,1162.89,20
2000-01-01,KOR,1145.08,21
2000-01-01,COL,1107.11,22
2000-01-01,IRQ,1098.37,23
2000-01-01,KSA,1093.57,24
2000-01-01,TUN,1072.28,25
2000-01-01,SCO,1062.52,26
2000-01-01,AUT,1053.78,27
2000-01-01,URU,1047.71,28
2000-01-01,RSA,1037.27,29
2000-01-01,EGY,1034.56,30
2000-01-01,TUR,1009.91,31
2000-01-01,ECU,1006.46,32
2000-01-01,SUI,1005.33,33
2000-01-01,CIV,958.87,34
2000-01-01,UZB,958.19,35
2000-01-01,JPN,945.82,36
2000-01-01,QAT,943.78,37
2000-01-01,SEN,939.68,38
2000-01-01,CAN,926.86,39
2000-01-01,JAM,918.29,40
2000-01-01,ALG,917.56,41
2000-01-01,COD,901.28,42
2000-01-01,GHA,900.68,43
2000-01-01,NZL,887.93,44
2000-01-01,JOR,788.32,45
2000-01-01,HAI,778.56,46
2000-01-01,BIH,730.96,47
2000-01-01,PAN,693.33,48
2000-01-01,CPV,531.65,49
2000-01-01,CUW,515.28,50
2000-04-01,FRA,1632.23,1
2000-04-01,BRA,1595.72,2
2000-04-01,ESP,1490.56,3
2000-04-01,ARG,1408.0,4
2000-04-01,NED,1389.55,5
2000-04-01,ENG,1366.05,6
2000-04-01,ITA,1339.92,7
2000-04-01,CZE,1338.01,8
2000-04-01,NOR,1324.63,9
2000-04-01,CRO,1315.38,10
2000-04-01,POR,1314.82,11
2000-04-01,GER,1300.58,12
2000-04-01,MEX,1277.28,13
2000-04-01,SWE,1274.08,14
2000-04-01,USA,1226.72,15
2000-04-01,AUS,1196.01,16
2000-04-01,BEL,1192.05,17
2000-04-01,PAR,1148.75,18
2000-04-01,MAR,1143.19,19
2000-04-01,IRN,1138.52,20
2000-04-01,KOR,1133.61,21
2000-04-01,IRQ,1098.37,22
2000-04-01,KSA,1093.57,23
2000-04-01,COL,1092.04,24
2000-04-01,URU,1066.74,25
2000-04-01,CAN,1062.24,26
2000-04-01,SCO,1055.54,27
2000-04-01,RSA,1051.16,28
2000-04-01,EGY,1038.12,29
2000-04-01,AUT,1029.3,30
2000-04-01,SUI,1014.59,31
2000-04-01,TUN,1001.21,32
2000-04-01,TUR,994.24,33
2000-04-01,ECU,988.58,34
2000-04-01,JPN,976.81,35
2000-04-01,CIV,975.01,36
2000-04-01,UZB,972.88,37
2000-04-01,ALG,916.45,38
2000-04-01,SEN,913.43,39
2000-04-01,JAM,892.51,40
2000-04-01,GHA,888.46,41
2000-04-01,QAT,884.01,42
2000-04-01,COD,868.19,43
2000-04-01,NZL,856.76,44
2000-04-01,BIH,760.8,45
2000-04-01,HAI,748.88,46
2000-04-01,JOR,735.9,47
2000-04-01,PAN,733.5,48
2000-04-01,CPV,531.65,49
2000-04-01,CUW,519.57,50
2000-07-01,FRA,1680.02,1
2000-07-01,BRA,1582.41,2
2000-07-01,NED,1563.06,3
2000-07-01,ITA,1478.14,4
2000-07-01,ESP,1444.71,5
2000-07-01,ARG,1433.84,6
2000-07-01,POR,1422.17,7
2000-07-01,CZE,1331.6,8
2000-07-01,ENG,1330.86,9
2000-07-01,CRO,1310.8,10
2000-07-01,NOR,1302.63,11
2000-07-01,AUS,1272.48,12
2000-07-01,USA,1257.79,13
2000-07-01,MEX,1244.14,14
2000-07-01,GER,1220.51,15
2000-07-01,SWE,1217.69,16
2000-07-01,KOR,1199.89,17
2000-07-01,IRN,1162.14,18
2000-07-01,BEL,1150.52,19
2000-07-01,PAR,1143.84,20
2000-07-01,MAR,1135.88,21
2000-07-01,IRQ,1113.18,22
2000-07-01,CAN,1103.63,23
2000-07-01,COL,1102.57,24
2000-07-01,SCO,1092.86,25
2000-07-01,URU,1088.99,26
2000-07-01,EGY,1066.87,27
2000-07-01,TUR,1053.56,28
2000-07-01,JPN,1037.51,29
2000-07-01,TUN,1035.98,30
2000-07-01,SUI,1025.83,31
2000-07-01,KSA,1025.21,32
2000-07-01,AUT,1018.04,33
2000-07-01,ECU,1015.56,34
2000-07-01,RSA,1006.13,35
2000-07-01,CIV,982.32,36
2000-07-01,ALG,968.18,37
2000-07-01,QAT,964.11,38
2000-07-01,UZB,940.14,39
2000-07-01,NZL,938.5,40
2000-07-01,GHA,881.15,41
2000-07-01,COD,841.43,42
2000-07-01,SEN,826.33,43
2000-07-01,JAM,799.81,44
2000-07-01,JOR,779.17,45
2000-07-01,HAI,777.0,46
2000-07-01,BIH,760.8,47
2000-07-01,PAN,710.12,48
2000-07-01,CPV,659.39,49
2000-07-01,CUW,519.57,50
2000-10-01,FRA,1689.87,1
2000-10-01,NED,1547.59,2
2000-10-01,BRA,1510.26,3
2000-10-01,ITA,1437.89,4
2000-10-01,POR,1429.16,5
2000-10-01,ARG,1416.89,6
2000-10-01,ESP,1393.79,7
2000-10-01,ENG,1344.68,8
2000-10-01,CZE,1305.08,9
2000-10-01,GER,1303.18,10
2000-10-01,CRO,1293.73,11
2000-10-01,MEX,1286.91,12
2000-10-01,AUS,1272.48,13
2000-10-01,USA,1236.26,14
2000-10-01,NOR,1225.63,15
2000-10-01,KOR,1220.06,16
2000-10-01,PAR,1189.36,17
2000-10-01,SWE,1186.3,18
2000-10-01,BEL,1178.72,19
2000-10-01,COL,1162.49,20
2000-10-01,IRN,1131.26,21
2000-10-01,URU,1112.71,22
2000-10-01,KSA,1107.4,23
2000-10-01,SCO,1098.63,24
2000-10-01,MAR,1095.73,25
2000-10-01,EGY,1086.35,26
2000-10-01,AUT,1069.81,27
2000-10-01,JPN,1069.08,28
2000-10-01,TUN,1038.6,29
2000-10-01,IRQ,1034.19,30
2000-10-01,RSA,1016.7,31
2000-10-01,TUR,1016.38,32
2000-10-01,SUI,1014.97,33
2000-10-01,JAM,996.73,34
2000-10-01,CIV,992.36,35
