match_id,tournament_id,match_date,home_team_id,away_team_id,home_score,away_score,home_penalty_score,away_penalty_score,match_phase,status
HIST_TUN_MAR_20000129,OTHER_HIST,2000-01-29,TUN,MAR,0,0,,,African Cup of Nations,Completed
HIST_CPV_ALG_20000409,OTHER_HIST,2000-04-09,CPV,ALG,0,0,,,FIFA World Cup qualification,Completed
HIST_GER_SUI_20000426,FRIENDLY,2000-04-26,GER,SUI,1,1,,,Friendly,Completed
HIST_MAR_FRA_20000606,OTHER_HIST,2000-06-06,MAR,FRA,1,5,,,King Hassan II Tournament,Completed
HIST_ECU_PAN_20000625,FRIENDLY,2000-06-25,ECU,PAN,5,0,,,Friendly,Completed
HIST_BEL_CRO_20000902,OTHER_HIST,2000-09-02,BEL,CRO,0,0,,,FIFA World Cup qualification,Completed
HIST_USA_COL_20010203,FRIENDLY,2001-02-03,USA,COL,0,1,,,Friendly,Completed
HIST_POR_NED_20010328,OTHER_HIST,2001-03-28,POR,NED,2,2,,,FIFA World Cup qualification,Completed
HIST_SUI_SWE_20010425,FRIENDLY,2001-04-25,SUI,SWE,0,2,,,Friendly,Completed
HIST_CAN_BRA_20010602,OTHER_HIST,2001-06-02,CAN,BRA,0,0,,,Confederations Cup,Completed
HIST_JPN_FRA_20010610,OTHER_HIST,2001-06-10,JPN,FRA,0,1,,,Confederations Cup,Completed
HIST_COL_MEX_20010729,CA2001,2001-07-29,COL,MEX,1,0,,,Copa America,Completed
HIST_AUT_SUI_20010815,FRIENDLY,2001-08-15,AUT,SUI,1,2,,,Friendly,Completed
HIST_GER_ENG_20010901,OTHER_HIST,2001-09-01,GER,ENG,1,5,,,FIFA World Cup qualification,Completed
HIST_QAT_UZB_20010928,OTHER_HIST,2001-09-28,QAT,UZB,2,2,,,FIFA World Cup qualification,Completed
HIST_JPN_SEN_20011004,FRIENDLY,2001-10-04,JPN,SEN,0,2,,,Friendly,Completed
HIST_EGY_TUN_20020125,OTHER_HIST,2002-01-25,EGY,TUN,1,0,,,African Cup of Nations,Completed
HIST_GER_USA_20020327,FRIENDLY,2002-03-27,GER,USA,4,2,,,Friendly,Completed
HIST_ENG_SWE_20020602,WC02,2002-06-02,ENG,SWE,1,1,,,World Cup Knockout,Completed
HIST_CRO_MEX_20020603,WC02,2002-06-03,CRO,MEX,0,1,,,World Cup Knockout,Completed
HIST_MEX_USA_20020617,WC02,2002-06-17,MEX,USA,0,2,,,World Cup Knockout,Completed
HIST_KOR_GER_20020625,WC02,2002-06-25,KOR,GER,0,1,,,World Cup Knockout,Completed
HIST_JOR_IRN_20020830,OTHER_HIST,2002-08-30,JOR,IRN,1,0,,,WAFF Championship,Completed
HIST_USA_CAN_20030118,FRIENDLY,2003-01-18,USA,CAN,4,0,,,Friendly,Completed
HIST_FRA_CZE_20030212,FRIENDLY,2003-02-12,FRA,CZE,0,2,,,Friendly,Completed
HIST_MEX_COL_20030212,FRIENDLY,2003-02-12,MEX,COL,0,0,,,Friendly,Completed
HIST_SUI_ITA_20030430,FRIENDLY,2003-04-30,SUI,ITA,1,2,,,Friendly,Completed
HIST_BRA_TUR_20030623,OTHER_HIST,2003-06-23,BRA,TUR,2,2,,,Confederations Cup,Completed
HIST_CZE_CAN_20031115,FRIENDLY,2003-11-15,CZE,CAN,5,1,,,Friendly,Completed
HIST_EGY_RSA_20031115,FRIENDLY,2003-11-15,EGY,RSA,2,1,,,Friendly,Completed
HIST_SCO_NED_20031115,EURO2003,2003-11-15,SCO,NED,1,0,,,UEFA Euro,Completed
HIST_SEN_CIV_20031115,FRIENDLY,2003-11-15,SEN,CIV,1,0,,,Friendly,Completed
HIST_CRO_GER_20040218,FRIENDLY,2004-02-18,CRO,GER,1,2,,,Friendly,Completed
HIST_ARG_ECU_20040330,OTHER_HIST,2004-03-30,ARG,ECU,1,0,,,FIFA World Cup qualification,Completed
HIST_POR_ITA_20040331,FRIENDLY,2004-03-31,POR,ITA,1,2,,,Friendly,Completed
HIST_AUS_TUR_20040521,FRIENDLY,2004-05-21,AUS,TUR,1,3,,,Friendly,Completed
HIST_HAI_JAM_20040612,OTHER_HIST,2004-06-12,HAI,JAM,1,1,,,FIFA World Cup qualification,Completed
HIST_FRA_ENG_20040613,EURO2004,2004-06-13,FRA,ENG,2,1,,,UEFA Euro,Completed
HIST_GER_NED_20040615,EURO2004,2004-06-15,GER,NED,1,1,,,UEFA Euro,Completed
HIST_ITA_SWE_20040618,EURO2004,2004-06-18,ITA,SWE,1,1,,,UEFA Euro,Completed
HIST_KOR_IRN_20040731,OTHER_HIST,2004-07-31,KOR,IRN,3,4,,,AFC Asian Cup,Completed
HIST_SWE_NED_20040818,FRIENDLY,2004-08-18,SWE,NED,2,2,,,Friendly,Completed
HIST_ESP_ENG_20041117,FRIENDLY,2004-11-17,ESP,ENG,1,0,,,Friendly,Completed
HIST_MEX_COL_20050223,FRIENDLY,2005-02-23,MEX,COL,1,1,,,Friendly,Completed
HIST_IRN_JPN_20050325,OTHER_HIST,2005-03-25,IRN,JPN,2,1,,,FIFA World Cup qualification,Completed
HIST_COL_ECU_20050608,OTHER_HIST,2005-06-08,COL,ECU,3,0,,,FIFA World Cup qualification,Completed
HIST_CIV_EGY_20050619,OTHER_HIST,2005-06-19,CIV,EGY,2,0,,,FIFA World Cup qualification,Completed
HIST_POR_EGY_20050817,FRIENDLY,2005-08-17,POR,EGY,2,0,,,Friendly,Completed
HIST_CZE_NOR_20051116,OTHER_HIST,2005-11-16,CZE,NOR,1,0,,,FIFA World Cup qualification,Completed
HIST_EGY_RSA_20060114,FRIENDLY,2006-01-14,EGY,RSA,1,2,,,Friendly,Completed
HIST_KSA_SWE_20060118,FRIENDLY,2006-01-18,KSA,SWE,1,1,,,Friendly,Completed
HIST_ARG_CRO_20060301,FRIENDLY,2006-03-01,ARG,CRO,2,3,,,Friendly,Completed
HIST_BEL_TUR_20060524,FRIENDLY,2006-05-24,BEL,TUR,3,3,,,Friendly,Completed
HIST_NOR_PAR_20060524,FRIENDLY,2006-05-24,NOR,PAR,2,2,,,Friendly,Completed
HIST_CRO_AUS_20060622,WC06,2006-06-22,CRO,AUS,2,2,,,World Cup Knockout,Completed
HIST_POR_FRA_20060705,WC06,2006-07-05,POR,FRA,0,1,,,World Cup Knockout,Completed
HIST_TUR_NOR_20070328,EURO2007,2007-03-28,TUR,NOR,2,2,,,UEFA Euro,Completed
HIST_USA_PAN_20070616,OTHER_HIST,2007-06-16,USA,PAN,2,1,,,Gold Cup,Completed
HIST_JPN_AUS_20070721,OTHER_HIST,2007-07-21,JPN,AUS,1,1,4,3,AFC Asian Cup,Completed
HIST_NOR_ARG_20070822,FRIENDLY,2007-08-22,NOR,ARG,2,1,,,Friendly,Completed
HIST_AUS_QAT_20080206,OTHER_HIST,2008-02-06,AUS,QAT,3,0,,,FIFA World Cup qualification,Completed
HIST_CIV_PAR_20080522,OTHER_HIST,2008-05-22,CIV,PAR,1,1,,,Kirin Cup,Completed
HIST_ITA_BEL_20080530,FRIENDLY,2008-05-30,ITA,BEL,3,1,,,Friendly,Completed
HIST_SUI_CZE_20080607,EURO2008,2008-06-07,SUI,CZE,0,1,,,UEFA Euro,Completed
HIST_ITA_AUT_20080820,FRIENDLY,2008-08-20,ITA,AUT,2,2,,,Friendly,Completed
HIST_CAN_MEX_20081015,OTHER_HIST,2008-10-15,CAN,MEX,2,2,,,FIFA World Cup qualification,Completed
HIST_RSA_GHA_20081015,FRIENDLY,2008-10-15,RSA,GHA,2,1,,,Friendly,Completed
HIST_COL_HAI_20090211,FRIENDLY,2009-02-11,COL,HAI,2,0,,,Friendly,Completed
HIST_IRN_KOR_20090211,OTHER_HIST,2009-02-11,IRN,KOR,1,1,,,FIFA World Cup qualification,Completed
HIST_MAR_CZE_20090211,FRIENDLY,2009-02-11,MAR,CZE,0,0,,,Friendly,Completed
HIST_IRN_KSA_20090328,OTHER_HIST,2009-03-28,IRN,KSA,1,2,,,FIFA World Cup qualification,Completed
HIST_ARG_PAN_20090520,FRIENDLY,2009-05-20,ARG,PAN,3,1,,,Friendly,Completed
HIST_QAT_IRQ_20090531,FRIENDLY,2009-05-31,QAT,IRQ,1,0,,,Friendly,Completed
HIST_QAT_AUS_20090606,OTHER_HIST,2009-06-06,QAT,AUS,0,0,,,FIFA World Cup qualification,Completed
HIST_ITA_SWE_20091118,FRIENDLY,2009-11-18,ITA,SWE,1,0,,,Friendly,Completed
HIST_AUS_NZL_20100524,FRIENDLY,2010-05-24,AUS,NZL,2,1,,,Friendly,Completed
HIST_GER_AUS_20100613,WC10,2010-06-13,GER,AUS,4,0,,,World Cup Knockout,Completed
HIST_ARG_KOR_20100617,WC10,2010-06-17,ARG,KOR,4,1,,,World Cup Knockout,Completed
HIST_MEX_ECU_20100904,FRIENDLY,2010-09-04,MEX,ECU,1,2,,,Friendly,Completed
HIST_EGY_AUS_20101117,FRIENDLY,2010-11-17,EGY,AUS,3,0,,,Friendly,Completed
HIST_JOR_UZB_20110102,FRIENDLY,2011-01-02,JOR,UZB,2,2,,,Friendly,Completed
HIST_JPN_KOR_20110125,OTHER_HIST,2011-01-25,JPN,KOR,2,2,4,3,AFC Asian Cup,Completed
HIST_ESP_COL_20110209,FRIENDLY,2011-02-09,ESP,COL,1,0,,,Friendly,Completed
HIST_MAR_ALG_20110604,OTHER_HIST,2011-06-04,MAR,ALG,4,0,,,African Cup of Nations qualification,Completed
HIST_AUS_NZL_20110605,FRIENDLY,2011-06-05,AUS,NZL,3,0,,,Friendly,Completed
HIST_KOR_GHA_20110607,FRIENDLY,2011-06-07,KOR,GHA,2,1,,,Friendly,Completed
HIST_GER_AUT_20110902,EURO2011,2011-09-02,GER,AUT,6,2,,,UEFA Euro,Completed
HIST_FRA_USA_20111111,FRIENDLY,2011-11-11,FRA,USA,1,0,,,Friendly,Completed
HIST_PAR_ECU_20111111,OTHER_HIST,2011-11-11,PAR,ECU,2,1,,,FIFA World Cup qualification,Completed
HIST_ALG_TUN_20111112,FRIENDLY,2011-11-12,ALG,TUN,1,0,,,Friendly,Completed
HIST_PAN_USA_20120125,FRIENDLY,2012-01-25,PAN,USA,0,1,,,Friendly,Completed
HIST_ESP_ITA_20120701,EURO2012,2012-07-01,ESP,ITA,4,0,,,UEFA Euro,Completed
HIST_AUT_TUR_20120815,FRIENDLY,2012-08-15,AUT,TUR,2,0,,,Friendly,Completed
HIST_IRQ_TUN_20121230,FRIENDLY,2012-12-30,IRQ,TUN,1,2,,,Friendly,Completed
HIST_USA_GER_20130602,FRIENDLY,2013-06-02,USA,GER,4,3,,,Friendly,Completed
HIST_ECU_ESP_20130814,FRIENDLY,2013-08-14,ECU,ESP,0,2,,,Friendly,Completed
HIST_GER_PAR_20130814,FRIENDLY,2013-08-14,GER,PAR,3,3,,,Friendly,Completed
HIST_ITA_ARG_20130814,FRIENDLY,2013-08-14,ITA,ARG,1,2,,,Friendly,Completed
HIST_JOR_UZB_20130906,OTHER_HIST,2013-09-06,JOR,UZB,1,1,,,FIFA World Cup qualification,Completed
HIST_SWE_GER_20131015,OTHER_HIST,2013-10-15,SWE,GER,3,5,,,FIFA World Cup qualification,Completed
HIST_NZL_MEX_20131120,OTHER_HIST,2013-11-20,NZL,MEX,2,4,,,FIFA World Cup qualification,Completed
HIST_QAT_JOR_20140107,OTHER_HIST,2014-01-07,QAT,JOR,2,0,,,WAFF Championship,Completed
HIST_COL_JOR_20140606,FRIENDLY,2014-06-06,COL,JOR,3,0,,,Friendly,Completed
HIST_AUS_KSA_20140908,FRIENDLY,2014-09-08,AUS,KSA,3,2,,,Friendly,Completed
HIST_UZB_NZL_20140908,FRIENDLY,2014-09-08,UZB,NZL,3,1,,,Friendly,Completed
HIST_ARG_BRA_20141011,OTHER_HIST,2014-10-11,ARG,BRA,0,2,,,Superclásico de las Américas,Completed
HIST_UZB_IRQ_20141225,FRIENDLY,2014-12-25,UZB,IRQ,1,0,,,Friendly,Completed
HIST_UZB_KSA_20150118,OTHER_HIST,2015-01-18,UZB,KSA,3,1,,,AFC Asian Cup,Completed
HIST_ECU_PAN_20150606,FRIENDLY,2015-06-06,ECU,PAN,4,0,,,Friendly,Completed
HIST_BRA_COL_20150617,CA2015,2015-06-17,BRA,COL,0,1,,,Copa America,Completed
HIST_HAI_JAM_20150718,OTHER_HIST,2015-07-18,HAI,JAM,0,1,,,Gold Cup,Completed
HIST_CPV_MAR_20160326,OTHER_HIST,2016-03-26,CPV,MAR,0,1,,,African Cup of Nations qualification,Completed
HIST_PAR_BRA_20160329,OTHER_HIST,2016-03-29,PAR,BRA,2,2,,,FIFA World Cup qualification,Completed
HIST_POR_BEL_20160329,FRIENDLY,2016-03-29,POR,BEL,2,1,,,Friendly,Completed
HIST_MEX_PAR_20160528,FRIENDLY,2016-05-28,MEX,PAR,1,0,,,Friendly,Completed
HIST_CAN_UZB_20160607,FRIENDLY,2016-06-07,CAN,UZB,2,1,,,Friendly,Completed
HIST_BEL_ITA_20160613,EURO2016,2016-06-13,BEL,ITA,0,2,,,UEFA Euro,Completed
HIST_POR_AUT_20160618,EURO2016,2016-06-18,POR,AUT,0,0,,,UEFA Euro,Completed
HIST_FRA_POR_20160710,EURO2016,2016-07-10,FRA,POR,0,1,,,UEFA Euro,Completed
HIST_KOR_QAT_20161006,OTHER_HIST,2016-10-06,KOR,QAT,3,2,,,FIFA World Cup qualification,Completed
HIST_KSA_AUS_20161006,OTHER_HIST,2016-10-06,KSA,AUS,2,2,,,FIFA World Cup qualification,Completed
HIST_GER_CZE_20161008,OTHER_HIST,2016-10-08,GER,CZE,3,0,,,FIFA World Cup qualification,Completed
HIST_AUS_JPN_20161011,OTHER_HIST,2016-10-11,AUS,JPN,1,1,,,FIFA World Cup qualification,Completed
HIST_ENG_SCO_20161111,OTHER_HIST,2016-11-11,ENG,SCO,3,0,,,FIFA World Cup qualification,Completed
HIST_MAR_CIV_20161112,OTHER_HIST,2016-11-12,MAR,CIV,0,0,,,FIFA World Cup qualification,Completed
