player_id,player_name,birth_date,position,club,base_rating
P-01925,Cyle Larin,1995-04-17,Forward,,81.8
P-60139,Omid Ebrahimi,1987-09-16,Midfielder,,83.4
P-22286,Robert Arboleda,1991-10-22,Defender,,83.6
P-42565,Gaëtan Englebert,1976-06-11,Midfielder,,82.1
P-19142,Chang-soo Kim,1985-09-12,Defender,,78.5
P-77301,Bassem Srarfi,1997-06-25,Forward,,71.5
P-61424,Jefferson Lerma,1994-10-25,Midfielder,,81.8
P-91602,Sofiane Melliti,1978-08-18,Midfielder,,72.2
P-71601,Eric Van Meir,1968-02-28,Defender,,78.4
P-27047,Leo Franco,1977-05-29,Midfielder,,86.6
P-09632,Seok-ho Hwang,1989-06-27,Defender,,82.3
P-00652,Juan Foyth,1998-01-12,Defender,,78.6
P-57975,not applicable Ricardinho,1976-05-23,Midfielder,,88.5
P-56626,Ki-hyeon Seol,1979-01-08,Forward,,80.5
P-94093,Anass Zaroury,2000-11-07,Midfielder,,80.7
P-68164,Danny Mills,1977-05-18,Defender,,83.3
P-41902,Hiroki Ito,1999-05-12,Defender,,75.7
P-20248,Jae-jin Cho,1981-07-09,Forward,,83.6
P-47906,Youri Tielemans,1997-05-07,Midfielder,,87.3
P-81126,Ryan Nelsen,1977-10-18,Defender,,69.8
P-57715,Óscar Bagüí,1982-12-10,Defender,,79.2
P-27419,Rodrigo Palacio,1982-02-05,Forward,,82.1
P-08169,Jordan Henderson,1990-06-17,Midfielder,,86.4
P-04686,Emil Forsberg,1991-10-23,Midfielder,,84.1
P-88928,Bamba Dieng,2000-03-23,Forward,,74.7
P-09441,Dani Alves,1983-05-06,Defender,,82.4
P-37782,Arif Erdem,1972-01-02,Forward,,75.2
P-42911,Héctor Herrera,1990-04-19,Midfielder,,74.3
P-37294,not applicable Koke,1992-01-08,Midfielder,,88.1
P-69606,Hugo Campagnaro,1980-06-27,Defender,,88.8
P-33434,Massimo Luongo,1992-09-25,Midfielder,,80.2
P-56844,Mohammad Nosrati,1982-01-11,Defender,,83.4
P-15566,Munir Mohamedi,1989-05-10,Midfielder,,75.2
P-19156,Agustín Delgado,1974-12-23,Forward,,79.1
P-77063,Javier Mascherano,1984-06-08,Midfielder,,82.7
P-51395,Thierry Henry,1977-08-17,Forward,,85.5
P-72819,Michael Amir Murillo,1996-02-11,Defender,,77.7
P-16053,Fabian Delph,1989-11-21,Defender,,78.5
P-30708,Jae-sung Kim,1983-10-03,Midfielder,,83.4
P-09053,Alejandro Bedoya,1987-04-29,Midfielder,,76.1
P-06608,Chu-young Park,1985-07-10,Forward,,74.2
P-96259,Tajon Buchanan,1999-02-08,Forward,,82.0
P-24897,not applicable Pedri,2002-11-25,Midfielder,,89.3
P-44505,Erick Davis,1991-03-31,Defender,,77.9
P-62854,Abdul Fatawu Issahaku,2004-03-08,Midfielder,,79.8
P-35334,Nicolas Lombaerts,1985-03-20,Defender,,80.8
P-26303,Yuto Nagatomo,1986-09-12,Defender,,73.6
P-55140,Cheikhou Kouyaté,1989-12-21,Midfielder,,82.6
P-84093,Mark Iuliano,1973-08-12,Defender,,82.9
P-91889,Chul Hong,1990-09-17,Defender,,84.0
P-55935,Jefferson Montero,1989-09-01,Midfielder,,77.7
P-61172,Son Jun-ho,1992-05-12,Midfielder,,75.5
P-84395,Samuel Kuffour,1976-09-03,Defender,,80.4
P-86499,not applicable Ramires,1987-03-24,Midfielder,,88.8
P-07902,Magnus Hedman,1973-03-19,Midfielder,,75.9
P-22128,Bilel Ifa,1990-03-09,Defender,,79.0
P-17445,Luis Ernesto Pérez,1981-01-12,Midfielder,,80.3
P-90145,Shane Smeltz,1981-09-29,Forward,,72.4
P-84382,Sadegh Moharrami,1996-03-01,Defender,,76.1
P-89804,not applicable Luizão,1975-11-14,Forward,,85.1
P-95369,Tomas Antonelius,1973-05-07,Defender,,73.0
P-80996,Eduardo Camavinga,2002-11-10,Midfielder,,77.8
P-46898,Yeremy Pino,2002-10-20,Forward,,86.5
P-53533,Djibril Cissé,1981-08-12,Forward,,86.4
P-71308,Keun-ho Lee,1985-04-11,Forward,,76.5
P-35320,Cristian Roldan,1995-06-03,Midfielder,,75.6
P-07148,Markus Rosenberg,1982-09-27,Forward,,80.6
P-34376,Bart Goor,1973-04-09,Midfielder,,76.7
P-24689,Fatau Dauda,1985-04-06,Midfielder,,74.1
P-53385,Harold Cummings,1992-03-01,Defender,,70.7
P-82216,Moisés Caicedo,2001-11-02,Midfielder,,75.5
P-98210,Jonny Magallón,1981-11-21,Defender,,81.5
P-80826,Guillermo Ochoa,1985-07-13,Midfielder,,83.7
P-72804,Jorge Guagua,1981-09-28,Defender,,84.3
P-58061,Lucas Cavallini,1992-12-28,Forward,,74.8
P-45528,Robbie Kruse,1988-10-05,Forward,,81.8
P-77071,not applicable Fabinho,1993-10-23,Midfielder,,81.1
P-24062,Jorge Sánchez,1997-12-10,Defender,,81.5
P-75090,José Izquierdo,1992-07-07,Forward,,80.5
P-50034,Ben White,1997-10-08,Defender,,76.8
P-24300,Mix Diskerud,1990-10-02,Midfielder,,83.7
P-86098,José Antonio Castro,1980-08-11,Defender,,80.3
P-60541,Sergio Romero,1987-02-22,Midfielder,,88.0
P-42890,Jermain Defoe,1982-10-07,Forward,,78.6
P-02977,Peter Van der Heyden,1976-07-16,Defender,,87.2
P-49265,Antonio Valencia,1985-08-04,Midfielder,,84.7
P-01249,Rio Ferdinand,1978-11-07,Defender,,77.2
P-20974,Didier Ya Konan,1984-05-22,Forward,,72.8
P-31566,Ümit Davala,1973-07-30,Midfielder,,81.0
P-56859,Jonás Gutiérrez,1983-07-05,Midfielder,,81.7
P-90867,Ferjani Sassi,1992-03-18,Midfielder,,82.9
P-71023,Sofyan Amrabat,1996-08-21,Midfielder,,85.1
P-26659,Young-min Hyun,1979-12-25,Defender,,75.0
P-50270,Anthony Annan,1986-07-21,Midfielder,,80.6
P-11638,Isaác Brizuela,1990-08-28,Midfielder,,85.4
P-62769,Gōtoku Sakai,1991-03-14,Defender,,82.7
P-12913,Tariq Lamptey,2000-09-30,Defender,,77.0
P-99967,Wayne Rooney,1985-10-24,Forward,,80.6
P-32968,not applicable Luisão,1981-02-13,Defender,,87.5
P-91114,Laurent Koscielny,1985-09-10,Defender,,81.8
P-90491,Yoshito Ōkubo,1982-06-09,Forward,,78.5
P-48887,Hannibal Mejbri,2003-01-21,Midfielder,,82.1
P-55590,Éder Militão,1998-01-18,Defender,,86.7
P-36056,Vratislav Lokvenc,1973-09-27,Forward,,75.5
P-71727,Joel Waterman,1996-01-24,Defender,,75.3
P-52641,Ali Boumnijel,1966-04-13,Midfielder,,76.3
P-60304,Mark Paston,1976-12-13,Midfielder,,64.9
P-70691,Loïs Openda,2000-02-16,Forward,,83.3
P-91831,Sven Vermant,1973-04-04,Midfielder,,81.1
P-90384,Martin Keown,1966-07-24,Defender,,82.5
P-29185,Mohammad Rashid Mazaheri,1989-05-18,Midfielder,,76.1
P-33325,Kamaldeen Sulemana,2002-02-15,Midfielder,,74.2
P-22378,Mauro Camoranesi,1976-10-04,Midfielder,,77.4
P-32822,Ki-hun Yeom,1983-03-30,Forward,,74.6
P-59735,Ulrich Ramé,1972-09-19,Midfielder,,82.1
P-92252,Daniel-Kofi Kyereh,1996-03-08,Midfielder,,82.5
P-33400,Sébastien Squillaci,1980-08-11,Defender,,82.8
P-75751,Hidemasa Morita,1995-05-10,Midfielder,,77.4
P-50303,Pape Malick Diop,1974-12-29,Defender,,73.8
P-72039,Herculez Gomez,1982-04-06,Forward,,83.1
P-00640,Ziad Jaziri,1978-07-12,Forward,,76.0
P-12781,Takayuki Morimoto,1988-05-07,Forward,,76.5
P-40400,Emmanuel Petit,1970-09-22,Midfielder,,89.1
P-96490,Rahman Rezaei,1975-02-20,Defender,,81.5
P-26847,Damiano Tommasi,1974-05-17,Midfielder,,76.9
P-66229,Esteban Cambiasso,1980-08-18,Midfielder,,82.4
P-96540,Patrick Vieira,1976-06-23,Midfielder,,79.7
P-88360,Kwon Chang-hoon,1994-06-30,Midfielder,,76.6
P-92316,Emmanuel Eboué,1983-06-04,Defender,,83.3
P-10244,Mathew Ryan,1992-04-08,Midfielder,,78.0
P-10063,Miguel Layún,1988-06-25,Defender,,83.9
P-18830,Florent Malouda,1980-06-13,Midfielder,,82.8
P-55485,Won-hee Cho,1983-04-17,Defender,,76.5
P-68599,Thomas Deng,1997-03-20,Defender,,72.2
P-21701,Marek Heinz,1977-08-04,Forward,,78.9
P-49882,Derek Boateng,1983-05-02,Midfielder,,74.9
P-74066,not applicable Josué,1979-07-19,Midfielder,,88.9
P-24653,not applicable Kahraba,1994-04-13,Forward,,72.1
P-77335,Heung-min Son,1992-07-08,Forward,,75.9
P-26250,Pavel Mareš,1976-01-18,Defender,,81.7
P-53967,Iñaki Williams,1994-06-15,Forward,,75.2
P-03191,Yohan Benalouane,1987-03-28,Defender,,71.9
P-30652,Mickaël Landreau,1979-05-14,Midfielder,,85.1
P-08514,Fernando Morientes,1976-04-05,Forward,,82.8
P-86404,Éder Álvarez Balanta,1993-02-28,Defender,,79.1
P-72637,Romelu Lukaku,1993-05-13,Forward,,77.2
P-41152,Matthew Upson,1979-04-18,Defender,,81.7
P-39788,Franco Armani,1986-10-16,Midfielder,,88.5
P-90908,Antoine Griezmann,1991-03-21,Forward,,87.6
P-05318,Trent Alexander-Arnold,1998-10-07,Defender,,86.5
P-12810,Boualem Khoukhi,1990-07-09,Defender,,71.2
P-20998,Alireza Beiranvand,1992-09-21,Midfielder,,75.4
P-90633,Mbo Mpenza,1976-12-04,Forward,,79.5
P-38372,Jack Butland,1993-03-10,Midfielder,,79.6
P-82956,Daniel Amartey,1994-12-21,Defender,,74.5
P-49610,Ryuzo Morioka,1975-10-07,Defender,,82.3
P-96697,Nampalys Mendy,1992-06-23,Midfielder,,83.8
P-14907,Milan Baroš,1981-10-28,Forward,,76.9
P-44851,Michael Estrada,1996-04-07,Forward,,76.4
P-10561,Édgar Bárcenas,1993-10-23,Midfielder,,72.6
P-55762,Sammy Bossut,1985-08-11,Midfielder,,88.1
P-95198,Orbelín Pineda,1996-03-24,Forward,,84.4
P-58634,Gilles Yapi Yapo,1982-01-13,Midfielder,,73.3
P-92353,Ángel Correa,1995-03-09,Forward,,84.8
P-32575,Gabriel Gómez,1984-05-29,Midfielder,,77.0
P-86920,Ibrahima Konaté,1999-05-25,Defender,,84.2
P-22338,Chun-soo Lee,1981-07-09,Forward,,82.9
P-72916,Patrice Evra,1981-05-15,Defender,,89.2
P-40630,Stephen Adams,1989-09-28,Midfielder,,81.6
P-99025,Aymeric Laporte,1994-05-27,Defender,,84.7
P-96174,Segundo Castillo,1982-05-15,Midfielder,,84.4
P-29172,Filippo Inzaghi,1973-08-09,Forward,,80.4
P-57361,not applicable Ronaldinho,1980-03-21,Midfielder,,78.8
P-64198,Ricardo Clark,1983-03-10,Midfielder,,75.7
P-61216,Owen Hargreaves,1981-01-20,Midfielder,,86.3
