tournament_id,team_id,player_id,jersey_number
WC18,ENG,P-56280,15
WC22,SEN,P-92891,24
WC22,BRA,P-42740,22
WC02,BRA,P-79146,17
WC22,QAT,P-75618,21
WC02,ECU,P-53809,22
WC22,GHA,P-72363,11
WC22,MEX,P-80088,23
WC02,TUN,P-63935,20
WC22,ESP,P-33433,13
WC22,FRA,P-86920,24
WC14,BRA,P-94551,23
WC06,JPN,P-12376,8
WC22,ARG,P-19776,9
WC06,USA,P-97784,7
WC22,SEN,P-90626,4
WC22,ARG,P-42113,11
WC06,ENG,P-86227,20
WC22,FRA,P-03945,18
WC14,USA,P-51653,19
WC06,MEX,P-34636,8
WC18,SWE,P-08312,22
WC22,FRA,P-90908,7
WC02,ESP,P-38878,21
WC22,GHA,P-20467,24
WC10,JPN,P-16260,14
WC14,AUS,P-95590,19
WC18,SEN,P-79299,10
WC06,GHA,P-49882,9
WC10,BRA,P-42918,3
WC06,ESP,P-29415,8
WC02,BRA,P-02795,12
WC06,CZE,P-44775,16
WC10,NZL,P-92939,13
WC06,FRA,P-23315,19
WC06,USA,P-92673,19
WC18,TUN,P-62629,2
WC02,BEL,P-88716,19
WC14,COL,P-83216,11
WC18,IRN,P-09113,20
WC02,MEX,P-98036,7
WC14,AUS,P-84412,11
WC06,ENG,P-81049,7
WC22,CAN,P-28794,7
WC06,JPN,P-65411,2
WC18,ARG,P-17853,23
WC10,KOR,P-47809,11
WC22,AUS,P-97422,8
WC22,BRA,P-87008,10
WC18,AUS,P-95847,13
WC22,TUN,P-42223,10
WC14,MEX,P-21208,15
WC22,IRN,P-75785,3
WC22,AUS,P-34822,22
WC06,CIV,P-97294,13
WC10,USA,P-01212,21
WC14,BRA,P-37372,21
WC14,AUS,P-77996,16
WC02,SEN,P-82601,5
WC10,NZL,P-54658,15
WC22,BRA,P-32798,3
WC02,KOR,P-83544,22
WC10,KOR,P-25724,7
WC22,BRA,P-83169,11
WC14,KOR,P-18963,23
WC06,SWE,P-06256,3
WC02,BRA,P-66308,4
WC22,BRA,P-66020,12
WC22,ARG,P-10739,24
WC02,ARG,P-00065,10
WC10,JPN,P-46091,3
WC10,FRA,P-57240,21
WC18,MAR,P-58822,15
WC18,PAN,P-76850,7
WC10,AUS,P-37275,15
WC14,FRA,P-01560,16
WC06,BRA,P-47627,13
WC18,TUN,P-12859,15
WC14,BRA,P-41422,1
WC06,ENG,P-51130,10
WC06,CIV,P-12127,12
WC22,KOR,P-93920,10
WC22,CAN,P-65386,6
WC14,ENG,P-64443,1
WC22,MEX,P-96510,6
WC14,KOR,P-28296,4
WC10,MEX,P-80826,13
WC22,USA,P-68131,19
WC06,USA,P-80859,9
WC02,MEX,P-50893,2
WC02,JPN,P-04785,18
WC10,MEX,P-98210,19
WC06,ENG,P-77532,21
WC06,ITA,P-22378,16
WC22,KOR,P-88360,22
WC14,MEX,P-40312,18
WC10,GHA,P-09728,10
WC14,FRA,P-45182,22
WC22,TUN,P-32803,16
WC22,ESP,P-68218,12
WC06,KOR,P-94594,2
WC14,ESP,P-81297,10
WC06,IRN,P-55405,13
WC22,KOR,P-77335,7
WC02,BRA,P-91718,2
WC22,ENG,P-15674,22
WC14,GHA,P-24689,16
WC02,ECU,P-03128,9
WC14,ECU,P-29870,21
WC22,ECU,P-49934,6
WC14,AUS,P-84486,23
WC10,ENG,P-16073,20
WC02,USA,P-92064,22
WC02,ESP,P-61793,1
WC22,FRA,P-97778,11
WC02,SWE,P-45212,10
WC02,TUR,P-44850,5
WC06,FRA,P-00916,11
WC14,ITA,P-35850,6
WC14,ESP,P-02231,19
WC02,ARG,P-53716,8
WC18,AUS,P-11675,18
WC22,MAR,P-59033,17
WC10,ENG,P-71420,6
WC02,BEL,P-33197,21
WC06,IRN,P-60564,17
WC06,ESP,P-71661,9
WC18,TUN,P-21962,14
WC22,BRA,P-02305,5
WC14,MEX,P-57865,9
WC02,ENG,P-53590,4
WC02,FRA,P-55991,16
WC18,TUN,P-39664,21
WC06,ECU,P-90857,15
WC06,FRA,P-43681,21
WC18,JPN,P-89321,22
WC10,ENG,P-48335,17
WC02,SEN,P-16046,13
WC10,ITA,P-22378,16
WC06,ENG,P-91486,14
WC18,IRN,P-20998,1
WC22,FRA,P-92987,12
WC18,MAR,P-87199,18
WC14,BRA,P-37239,11
WC14,JPN,P-36964,10
WC14,ARG,P-14758,10
WC22,FRA,P-89750,9
WC18,PAN,P-06696,11
WC22,ECU,P-62543,17
WC02,SEN,P-58665,22
WC02,ESP,P-24963,11
WC14,IRN,P-20969,14
WC26,ESP,P-81427,22
WC26,BRA,P-09441,13
WC26,GHA,P-72363,11
WC26,FRA,P-42326,4
WC26,ENG,P-76287,16
WC26,KOR,P-04157,21
WC26,BRA,P-77071,15
WC26,TUN,P-73455,3
WC26,MEX,P-73491,25
WC26,JPN,P-26303,5
WC26,GHA,P-20467,24
WC26,ECU,P-96347,2
WC26,QAT,P-70879,1
WC26,IRN,P-98747,15
WC26,KOR,P-94500,25
WC26,ARG,P-35173,3
WC26,KOR,P-87514,18
WC26,BEL,P-64049,5
WC26,KOR,P-88529,2
WC26,ECU,P-75912,13
WC26,AUS,P-95847,13
WC26,FRA,P-91324,3
WC26,ENG,P-76842,17
WC26,ECU,P-02839,26
WC26,MEX,P-24705,22
WC26,USA,P-68131,19
WC26,BRA,P-55590,14
WC26,IRN,P-17784,12
