match_id,team_id,goals,possession,shots,shots_on_target,corners,fouls,yellow_cards,red_cards,expected_goals
HIST_NZL_KOR_20000123,NZL,0,0.5,12,4,4,12,1,0,0.0
HIST_USA_HAI_20000212,USA,3,0.5,12,4,4,12,1,0,3.0
HIST_AUT_SWE_20000329,AUT,1,0.5,12,4,4,12,1,0,1.0
HIST_AUT_CRO_20000426,CRO,2,0.5,12,4,4,12,1,0,2.0
HIST_NED_SCO_20000426,SCO,0,0.5,12,4,4,12,1,0,0.0
HIST_PAR_URU_20000426,PAR,1,0.5,12,4,4,12,1,0,1.0
HIST_PAR_URU_20000426,URU,0,0.5,12,4,4,12,1,0,0.0
HIST_CPV_SEN_20000514,CPV,1,0.5,12,4,4,12,1,0,1.0
HIST_ENG_BRA_20000527,BRA,1,0.5,12,4,4,12,1,0,1.0
HIST_JOR_IRQ_20000602,IRQ,4,0.5,12,4,4,12,1,0,4.0
HIST_NOR_ITA_20000603,ITA,0,0.5,12,4,4,12,1,0,0.0
HIST_MAR_FRA_20000606,FRA,5,0.5,12,4,4,12,1,0,5.0
HIST_IRN_EGY_20000607,EGY,1,0.5,12,4,4,12,1,0,1.0
HIST_TUN_SEN_20000611,TUN,4,0.5,12,4,4,12,1,0,4.0
HIST_BEL_ITA_20000614,BEL,0,0.5,12,4,4,12,1,0,0.0
HIST_ALG_SEN_20000616,ALG,1,0.5,12,4,4,12,1,0,1.0
HIST_ENG_GER_20000617,ENG,1,0.5,12,4,4,12,1,0,1.0
HIST_TUN_ALG_20000628,ALG,2,0.5,12,4,4,12,1,0,2.0
HIST_AUT_IRN_20000901,IRN,1,0.5,12,4,4,12,1,0,1.0
HIST_ENG_GER_20001007,GER,1,0.5,12,4,4,12,1,0,1.0
HIST_ARG_URU_20001008,ARG,2,0.5,12,4,4,12,1,0,2.0
HIST_AUT_ESP_20001011,AUT,1,0.5,12,4,4,12,1,0,1.0
HIST_QAT_UZB_20001014,QAT,1,0.5,12,4,4,12,1,0,1.0
HIST_JPN_QAT_20001020,QAT,1,0.5,12,4,4,12,1,0,1.0
HIST_KOR_KSA_20001026,KSA,2,0.5,12,4,4,12,1,0,2.0
HIST_TUN_MAR_20010113,MAR,1,0.5,12,4,4,12,1,0,1.0
HIST_EGY_MAR_20010128,MAR,0,0.5,12,4,4,12,1,0,0.0
HIST_ITA_ARG_20010228,ITA,1,0.5,12,4,4,12,1,0,1.0
HIST_ITA_ARG_20010228,ARG,2,0.5,12,4,4,12,1,0,2.0
HIST_POR_NED_20010328,POR,2,0.5,12,4,4,12,1,0,2.0
HIST_UZB_JOR_20010427,JOR,2,0.5,12,4,4,12,1,0,2.0
HIST_TUN_CIV_20010520,TUN,1,0.5,12,4,4,12,1,0,1.0
HIST_MEX_AUS_20010530,AUS,2,0.5,12,4,4,12,1,0,2.0
HIST_NZL_AUS_20010620,AUS,2,0.5,12,4,4,12,1,0,2.0
HIST_MEX_USA_20010701,MEX,1,0.5,12,4,4,12,1,0,1.0
HIST_ALG_EGY_20010721,ALG,1,0.5,12,4,4,12,1,0,1.0
HIST_QAT_IRN_20010801,QAT,2,0.5,12,4,4,12,1,0,2.0
HIST_KSA_QAT_20010805,KSA,1,0.5,12,4,4,12,1,0,1.0
HIST_ECU_ARG_20010815,ARG,2,0.5,12,4,4,12,1,0,2.0
HIST_ENG_NED_20010815,NED,2,0.5,12,4,4,12,1,0,2.0
HIST_JAM_MEX_20010902,JAM,1,0.5,12,4,4,12,1,0,1.0
HIST_COL_ECU_20010905,COL,0,0.5,12,4,4,12,1,0,0.0
HIST_JPN_SEN_20011004,SEN,2,0.5,12,4,4,12,1,0,2.0
HIST_FRA_ALG_20011006,ALG,1,0.5,12,4,4,12,1,0,1.0
HIST_URU_COL_20011007,URU,1,0.5,12,4,4,12,1,0,1.0
HIST_ECU_URU_20011107,ECU,1,0.5,12,4,4,12,1,0,1.0
HIST_KOR_SEN_20011108,SEN,1,0.5,12,4,4,12,1,0,1.0
HIST_AUT_TUR_20011110,AUT,0,0.5,12,4,4,12,1,0,0.0
HIST_CZE_BEL_20011114,BEL,1,0.5,12,4,4,12,1,0,1.0
HIST_ALG_GHA_20011205,GHA,1,0.5,12,4,4,12,1,0,1.0
HIST_USA_KOR_20020119,KOR,1,0.5,12,4,4,12,1,0,1.0
HIST_CAN_ECU_20020122,ECU,2,0.5,12,4,4,12,1,0,2.0
HIST_TUN_KOR_20020313,KOR,0,0.5,12,4,4,12,1,0,0.0
HIST_KOR_TUR_20020326,TUR,0,0.5,12,4,4,12,1,0,0.0
HIST_NED_ESP_20020327,ESP,0,0.5,12,4,4,12,1,0,0.0
HIST_NOR_SWE_20020417,NOR,0,0.5,12,4,4,12,1,0,0.0
HIST_MEX_COL_20020512,COL,1,0.5,12,4,4,12,1,0,1.0
HIST_USA_NED_20020519,USA,0,0.5,12,4,4,12,1,0,0.0
HIST_RSA_TUR_20020523,TUR,0,0.5,12,4,4,12,1,0,0.0
HIST_KOR_FRA_20020526,FRA,3,0.5,12,4,4,12,1,0,3.0
HIST_ITA_CRO_20020608,ITA,1,0.5,12,4,4,12,1,0,1.0
HIST_BRA_BEL_20020617,BRA,2,0.5,12,4,4,12,1,0,2.0
HIST_ENG_BRA_20020621,ENG,1,0.5,12,4,4,12,1,0,1.0
HIST_JOR_IRQ_20020907,JOR,2,0.5,12,4,4,12,1,0,2.0
HIST_IRN_PAR_20020919,PAR,1,0.5,12,4,4,12,1,0,1.0
HIST_MEX_PAR_20030326,PAR,1,0.5,12,4,4,12,1,0,1.0
HIST_NED_CZE_20030329,NED,1,0.5,12,4,4,12,1,0,1.0
HIST_NED_POR_20030430,NED,1,0.5,12,4,4,12,1,0,1.0
HIST_RSA_JAM_20030430,RSA,0,0.5,12,4,4,12,1,0,0.0
HIST_RSA_JAM_20030430,JAM,0,0.5,12,4,4,12,1,0,0.0
HIST_USA_MEX_20030508,MEX,0,0.5,12,4,4,12,1,0,0.0
HIST_TUR_USA_20030619,USA,1,0.5,12,4,4,12,1,0,1.0
HIST_FRA_JPN_20030620,FRA,2,0.5,12,4,4,12,1,0,2.0
HIST_JAM_COL_20030713,JAM,0,0.5,12,4,4,12,1,0,0.0
