tournament_id,competition_id,year,host_country
EURO2004,EURO,2004,Portugal
CA2001,COPA_AMERICA,2001,Colombia
WC10,WC,2010,South Africa
EURO2007,EURO,2007,France
EURO2003,EURO,2003,Germany
EURO2024,EURO,2024,Germany
EURO2002,EURO,2002,Austria
EURO2019,EURO,2019,Czech Republic
EURO2023,EURO,2023,France
WC14,WC,2014,Brazil
CA2004,COPA_AMERICA,2004,Peru
CA2011,COPA_AMERICA,2011,Argentina
EURO2015,EURO,2015,Croatia
WC18,WC,2018,Russia
OTHER_HIST,OTHER,2000,Worldwide
CA2016,COPA_AMERICA,2016,United States
WC22,WC,2022,Qatar
CA2015,COPA_AMERICA,2015,Chile
EURO2014,EURO,2014,Turkey
CA2007,COPA_AMERICA,2007,Venezuela
EURO2000,EURO,2000,Netherlands
EURO2016,EURO,2016,France
EURO2006,EURO,2006,Sweden
CA2024,COPA_AMERICA,2024,United States
CA2021,COPA_AMERICA,2021,Brazil
EURO2011,EURO,2011,Sweden
EURO2012,EURO,2012,Ukraine
EURO2008,EURO,2008,Austria
WC02,WC,2002,South Korea
EURO2021,EURO,2021,Hungary
WC26,WC,2026,"USA, Canada, Mexico"
WC06,WC,2006,Germany
CA2019,COPA_AMERICA,2019,Brazil
EURO2010,EURO,2010,Belgium
FRIENDLY,FRIENDLY,2026,Worldwide
